keyword,sentence
결과,결과보다 노력하는 과정이 소중한 거잖아요.
단순,저는 이런 단순 무식한 대답이 제일 싫어요.
단순,"특히 태식이 소감, 짱 단순 무식해."
단순,지난번 방송에서 태식이의 답변을 ‘단순 무식’하다고 해서 태식이가 단단히 삐친 게 확실했다.
단순,그러니까 네 별명이 단순 무식이지.
반대,"진미는 이미 반에서 중심인물이 된 것 같았고, 반대로 자기는 아웃사이더 같이 느껴졌다."
방향,〈주디의 생생 뉴스〉덕분에 좋은 방향으로 개선된 것도 많다고 했다.
이해,주디는 진미가 왜 그렇게 친구들 사이에서 인기가 있는지 이해가 가지 않았다.
재료,"이제, 재료를 살펴볼까요?"
재료,"주디는 맛, 냄새, 재료 등에 대해 자세히 설명하고 분식집 아주머니가 친절한지 아닌지 등을 전했다."
재료,육수도 천연 재료로 직접 만들었다.
재료,케이크 가게에서는 그 물질은 손톱이 아니라 재료 중 무언가가 딱딱하게 뭉친 조각일 거라고 했다.
재료,"게다가 그 초코빵, 되게 나쁜 재료로 만든 거래."
재료,여러 가지 남은 재료로 만든다나?
재료,"발톱이 들어갔을 뿐만 아니라 재료도 싸구려를 사용, 비위생적으로 관리"
재료,진미네 빵집 재료 말이야.
재료,"우리 밀에, 유기농 재료를 쓰면 아주 비쌀 텐데 우리가 가면 꼭 빵을 공짜로 주시잖아."
재료,싸구려 재료로 만들고는 거짓말한 거야.
재료,우리 빵집은 할아버지 때부터 좋은 재료로 빵을 만들어 팔았어.
재료,"날마다 신선한 재료를 공급 받고, 항상 엄격하게 관리하기 때문에 "
재료,진미 빵집 재료가 유기농인지 아닌지를 알아내는 것도 중요할 것 같아.
재료, 진이네 빵집에서 사용하는 재료가 진짜 유기농인지 확인해 본다.
재료,우리 빵집은 회사에서 날마다 신선한 재료를 공급 받는다. 
재료,진미네 빵집은 정말 유기농 재료를 사용한다는 거야.
재료,그리고 진미네 빵집에서 사용하는 재료를 어디에서 사는지도 다 조사했어.
재료,진미네는 좋은 재료를 사용해 정직하게 만드니까 맘 놓고 먹어도 된다는 사실.
재료,"동네 사람들이 믿고 찾아 주는 것에 만족하지 않고, 더 좋은 재료로 보답해야겠다."
간접,잘못하면 간접 광고가 되니까요.
공개,남수는 자기 용돈 기록장을 공개하면서 용돈을 받아 어디에 어떻게 쓰는지 전했다.
과장,어느 빵집에서 아이들의 환심을 나려고 빵을 나누어 주면서 과장 광고와 허위 광고를 하고 있다.
기능,아이들 동영상에 댓글을 차단하는 기능이 없었다면 분명 이모와 삼촌 팬들이 자신을 위로해 주었을 거라고 생각했다.
기본,엄마가 기본만 가르쳐 줄게.
내부,내부를 새롭게 단장하고 더욱 깨끗한 빵집으로 거듭나기 위해 내부 공사를 합니다.
등장,얼마 전부터 미성년자가 등장하는 동영상에는 댓글을 차단하는 조치가 시행되었다.
보관,증거물로 잘 보관해 놔요.
비판,뉴스를 비판적으로 잘 따져 보고 받아들여야 할 거 같아.
상상,엄마의 말에 주디는 자신이 방송하는 모습을 상상해 보았다.
상상,정말 상상만으로도 끔찍하죠?
안정,아나운서의 생명은 정확한 발음과 안정감 있는 목소리야.
의견,반 아이들도 꾸준히 주디의 뉴스를 구독하며 가끔 저희끼리 의견을 나누기도 했다.
의견,아이들의 의견은 분분했다.
의도,아이들은 자신의 의도를 알아차린 것처럼 쑥덕거렸다.
의지,그러자 눈꼴신 진미 얼굴이 떠올랐고 곧바로 의지가 불타올랐다.
자극,이처럼 맵고 짜고 자극적인 음식이 우리 몸에 좋을까요?
자극,자극적인 내용으로 사람들의 호기심을 끌고 있었다.
전달,저는 동영상으로 제 학교생활에 관한 뉴스를 찍어 전달하려고 합니다.
전달,주디는 카메라를 향해 오늘 학교에서 있었던 일들을 조목조목 뉴스로 전달했다.
전달,요즘 우리에게 전달되는 뉴스가 백 퍼센트 팩트가 아니라는 사실을 생각한다.
전달,저는 이제부터 정확히 팩트만 전달할 거예요.
정지,주디는 손을 흔들어 인사한 뒤 스마트폰의 촬영 정지 버튼을 눌렀다.
정지,그리고 정지된 화면 위에 빨간 글씨로 제목이 쓰여 있었다.
조사,헤어스타일도 조사했다.
조사,"아이들이 잘 쓰는 샤프와 공책, 신발 같은 것 도 조사해서 소개했다."
조사,"주디야, 그 건 조사 안 해 봤지?"
조사,"셋째, 그 동네에 있는 케이크 가게를 조사한다."
조사,"넷째, 진미네 빵집에서 파는 초콜릿 케이크를 조사한다."
조사,이런 것들을 차분히 조사한 뒤 잘못됐거나 아닌 것들을 하나씩 걸러내 보자.
조사,주디는 우리가 팩트 체크를 하기 위해 조사를 한다고 하니까 모든 걸 솔직히 보여 주었어.
조사,그리고 진미네 빵집에서 사용하는 재료를 어디에서 사는지도 다 조사했어.
주장,동네 빵집들은 서로 자기네 빵이 아니라고 주장하고 있다는데
주장,서로 자기주장이 맞다고 내세우고 있었다.
집중,뭔가에 집중할 때면 나오는 주디의 버릇이다.
집중,하지만 주디는 그날 수업에 집중할 수가 없었다.
참여,나도 팩트 체크에 참여할래.
